unit,prefix_group,word,part_of_speech,meaning_en,meaning_vi_ascii,status,priority,last_seen,source,notes
23,mis,misspell,verb,spell incorrectly,danh van sai,cooldown,P3,2026-07-31,2026-07-31 package,
23,mis,mismatch,noun/verb,things do not match,khong khop,cooldown,P3,2026-07-31,2026-07-31 package,Watch against misuse/mislead
23,mis,miscount,verb,count incorrectly,dem sai,cooldown,P3,2026-07-31,2026-07-31 package,
23,mis,mistrust,verb/noun,distrust,khong tin,cooldown,P3,2026-07-31,2026-07-31 package,
23,mis,mishear,verb,hear incorrectly,nghe nham,cooldown,P3,2026-07-31,2026-07-31 package,
23,mis,mishandle,verb,handle/manage badly,xu ly kem,cooldown,P3,2026-08-11,quiz history,Correct on Daily Quick two days in a row
23,mis,drug,noun,substance used as medicine or illegal substance,thuoc; chat gay nghien,new_unit,P2,2026-08-11,addendum reconciliation,Unit 23 supplement from addendum
24,multi,multicultural,adjective,involving many cultures,da van hoa,cooldown,P3,2026-07-31,2026-07-31 package,
24,multi,multiple,adjective,many; more than one,nhieu,cooldown,P3,2026-07-31,2026-07-31 package,
24,multi,multiply,verb,increase many times; do multiplication,nhan len,cooldown,P3,2026-07-31,2026-07-31 package,
24,multi,multipurpose,adjective,having many uses,da muc dich,cooldown,P3,2026-08-04,quiz history,Stable
24,multi,multitask,verb,do several tasks at once,lam nhieu viec cung luc,cooldown,P3,2026-07-31,2026-07-31 package,
24,multi,multimedia,noun/adjective,using several media types,da phuong tien,cooldown,P3,2026-07-31,2026-07-31 package,
24,multi,multinational,adjective,in several countries,da quoc gia,cooldown,P3,2026-07-31,2026-07-31 package,
24,multi,multilingual,adjective,using several languages,da ngon ngu,cooldown,P3,2026-09-18,WQ-2026-09-18,"Q29: Correct confidently; Because she speaks French, English, and Vietnamese, she is multilingual."
24,multi,multicolor,adjective,having many colors,nhieu mau,cooldown,P3,2026-07-31,2026-07-31 package,
24,multi,multilayer,adjective,having many layers,nhieu lop,cooldown,P3,2026-07-31,2026-07-31 package,
24,multi,multiplayer,adjective/noun,involving many players,nhieu nguoi choi,cooldown,P3,2026-07-31,2026-07-31 package,
24,multi,multi-author,adjective,with many authors,nhieu tac gia,cooldown,P3,2026-07-31,2026-07-31 package,
24,multi,multi-skilled,adjective,with many skills,nhieu ky nang,cooldown,P3,2026-07-31,2026-07-31 package,
24,multi,multistory,adjective,having many floors,nhieu tang,cooldown,P3,2026-07-31,2026-07-31 package,
24,multi,multi-access,adjective,allowing multiple access points,nhieu diem truy cap,cooldown,P3,2026-07-31,2026-07-31 package,
25,non,nonfiction,noun,writing about real facts,phi hu cau,cooldown,P3,2026-07-31,2026-07-31 package,
25,non,nonprofit,noun/adjective,not for profit,phi loi nhuan,cooldown,P3,2026-07-31,2026-07-31 package,
25,non,nonsense,noun,words or ideas without sense,vo ly,cooldown,P3,2026-07-31,2026-07-31 package,
25,non,nonstop,adjective/adverb,without stopping,khong dung,cooldown,P3,2026-07-31,2026-07-31 package,
25,non,nonverbal,adjective,not using words,phi ngon ngu,cooldown,P3,2026-07-31,2026-07-31 package,
25,non,non-smoking,adjective,where smoking is not allowed,khong hut thuoc,cooldown,P3,2026-07-31,2026-07-31 package,
25,non,non-fat,adjective,without fat,khong beo,cooldown,P3,2026-07-31,2026-07-31 package,
25,non,non-human,adjective,not human,khong phai con nguoi,cooldown,P3,2026-07-31,2026-07-31 package,
25,non,non-violent,adjective,not violent,phi bao luc,cooldown,P3,2026-07-31,2026-07-31 package,
25,non,non-native,adjective,not native,khong ban xu,cooldown,P3,2026-07-31,2026-07-31 package,
25,non,non-essential,adjective,not necessary,khong thiet yeu,cooldown,P3,2026-08-11,quiz history,Stable after non-essential and non-urgent contrast checks
25,non,non-plastic,adjective,not made of plastic,khong bang nhua,cooldown,P3,2026-07-31,2026-07-31 package,
25,non,non-swimmer,noun,person who cannot swim,nguoi khong biet boi,cooldown,P3,2026-07-31,2026-07-31 package,
25,non,non-urgent,adjective,not needing immediate action,khong khan cap,cooldown,P3,2026-09-18,WQ-2026-09-18,"Q27: Correct confidently; This problem matters, but it can wait until next week, so it is non-urgent."
25,non,non-scented,adjective,without scent,khong mui,cooldown,P3,2026-07-31,2026-07-31 package,
26,ob,object,verb,disagree; oppose,phan doi,cooldown,P3,2026-07-31,2026-07-31 package,
26,ob,obliged,adjective,required; forced by duty,bat buoc,cooldown,P3,2026-07-31,2026-07-31 package,
26,ob,observe,verb,watch carefully; notice,quan sat,cooldown,P3,2026-07-31,2026-07-31 package,
26,ob,obstacle,noun,barrier; difficulty,chuong ngai,cooldown,P3,2026-08-07,quiz history,Correct on Weekly Quick
26,ob,obvious,adjective,clear; easy to see,hien nhien,recovery,P2,2026-09-22,DQ-2026-09-22,Q5 correctly avoided clear/evident adjective in mandatory-training context; retain contrast
26,ob,objective,adjective,fair; unbiased; fact-based,khach quan,cooldown,P3,2026-09-08,quiz history,Correct confidently for an unbiased reviewer
26,ob,objection,noun,statement of disagreement,su phan doi,cooldown,P3,2026-07-31,2026-07-31 package,
26,ob,oblige,verb,force or require; do a favor,bat buoc; giup do,cooldown,P3,2026-07-31,2026-07-31 package,
26,ob,obligatory,adjective,required,bat buoc,recovery,P2,2026-09-22,DQ-2026-09-22,Q5 first confident correction after confusing required with obvious; retain Recovery
26,ob,obligation,noun,duty; requirement,nghia vu,cooldown,P3,2026-07-31,2026-07-31 package,
26,ob,observable,adjective,can be seen/measured/coi thay duoc,co the quan sat,recovery,P1,2026-09-22,DQ-2026-09-22,Q2 selected incorrectly for a perceptive person; observable describes something that can be seen or measured
26,ob,observant,adjective,good at noticing details,tinh y,recovery,P2,2026-08-07,quiz history,Correct on Weekly Quick after multiple misses
26,ob,observation,noun,act/result of observing,su quan sat,cooldown,P3,2026-07-31,2026-07-31 package,
26,ob,observatory,noun,place for observing sky,dao quan sat,cooldown,P3,2026-07-31,2026-07-31 package,
26,ob,obviously,adverb,clearly,ro rang,cooldown,P3,2026-07-31,2026-07-31 package,
26,ob,obviousness,noun,state of being obvious,su ro rang,cooldown,P3,2026-07-31,2026-07-31 package,
26,ob,obey,verb,follow rules/orders,tuan theo,cooldown,P3,2026-07-31,2026-07-31 package,
26,ob,obtain,verb,get; acquire,dat duoc,cooldown,P3,2026-07-31,2026-07-31 package,
26,ob,obsess,verb,occupy thoughts too much,am anh,cooldown,P3,2026-07-31,2026-07-31 package,
26,ob,obstruct,verb,block; prevent progress,can tro,cooldown,P3,2026-07-31,2026-07-31 package,
26,op,oppose,verb,disagree with; resist,phan doi,cooldown,P3,2026-07-31,2026-07-31 package,
26,op,offend,verb,upset or insult,xuc pham,cooldown,P3,2026-07-31,2026-07-31 package,
26,op,oppress,verb,treat cruelly or unfairly,ap buc,cooldown,P3,2026-07-31,2026-07-31 package,
27,out,outbreak,noun,sudden spread/start of disease or violence,su bung phat,cooldown,P3,2026-09-10,quiz history,Correct confidently for a flu spread across schools; remains stable
27,out,output,noun,production amount/result,dau ra,cooldown,P3,2026-08-04,conversation update,
27,out,outside,noun/adjective/adverb,not inside,ben ngoai,cooldown,P3,2026-08-03,conversation update,
27,out,outsource,verb,hire outside provider,thue ngoai,cooldown,P3,2026-08-11,quiz history,Correct on Daily Quick
27,out,outweigh,verb,be more important/greater than,lon hon; vuot troi,recovery,P2,2026-09-21,DQ-2026-09-21,Q5 first confident correction after 2026-09-18 cost-benefit miss; retain Recovery
27,out,outdated,adjective,no longer modern,loi thoi,cooldown,P3,2026-09-18,WQ-2026-09-18,"Q25: Correct confidently; The instructions mention buttons that no longer exist, so the manual is outdated."
27,out,outdoor,adjective,outside; open air,ngoai troi,cooldown,P3,2026-08-03,conversation update,
27,out,outfit,noun,set of clothes,bo trang phuc,cooldown,P3,2026-08-03,conversation update,
27,out,outline,noun/verb,summary structure; sketch,dan y; phac thao,cooldown,P3,2026-08-05,conversation update,
27,out,outbound,adjective,going out,di ra ngoai,cooldown,P3,2026-08-03,conversation update,
27,out,outskirts,noun,outer area of a city,vung ngoai o,cooldown,P3,2026-08-06,conversation update,
27,out,outgrow,verb,become too big/mature for,lon vuot khoi,cooldown,P3,2026-08-06,conversation update,
27,out,outward,adjective/adverb,toward outside; external,huong ra ngoai,cooldown,P3,2026-08-03,conversation update,
27,out,outburst,noun,sudden strong emotion,su boc phat,cooldown,P3,2026-09-09,quiz history,Correct confidently for a sudden angry expression; remains stable
27,out,outspoken,adjective,direct and honest in speech,thang than,cooldown,P3,2026-08-07,quiz history,Correct on Weekly Quick after prior uncertainty
0,general,boredom,noun,state of being bored,su nham chan,cooldown,P3,2026-08-03,conversation update,Added with Unit 27
0,general,assume,verb,suppose without full proof,gia dinh,cooldown,P3,2026-08-03,conversation update,Correct on 2026-08-03
0,general,microaggression,noun,subtle insulting remark/action about identity or background,loi noi hoac hanh dong xuc pham ngam ve ban sac,cooldown,P3,2026-08-07,quiz history,Correct on Weekly Quick after earlier miss
0,general,illegible,adjective,impossible or very hard to read because writing/printing is unclear,khong doc duoc,cooldown,P3,2026-09-07,quiz history,Correct handwriting-cannot-be-read context; contrast with illiterate remains stable
0,general,illiterate,adjective,unable to read or write,khong biet doc viet,cooldown,P3,2026-08-11,quiz history,Correctly contrasted with illegible on Daily Quick
28,over,overestimate,verb,estimate too high,danh gia qua cao,cooldown,P3,2026-08-06,conversation update,
28,over,overload,verb/noun,put too much load on; too much load,qua tai,cooldown,P3,2026-08-10,quiz history,Correct on Daily Quick
28,over,overreact,verb,react too strongly,phan ung thai qua,cooldown,P3,2026-08-11,quiz history,Correct on Daily Quick
28,over,overhead,noun/adjective,above head; operating costs,tren dau; chi phi chung,cooldown,P3,2026-08-04,conversation update,
28,over,overweight,adjective,too heavy,thua can,cooldown,P3,2026-08-04,conversation update,
28,over,oversize,adjective,too large,qua co,cooldown,P3,2026-08-04,conversation update,
28,over,overcharge,verb,charge too much,tinh gia qua cao,recovery,P2,2026-09-21,DQ-2026-09-21,Q5 correctly avoided excessive-price verb in benefits-vs-cost comparison; retain paired contrast
28,over,overlook,verb,fail to notice; look over,bo sot; nhin ra,recovery,P2,2026-09-22,DQ-2026-09-22,Q3 correctly avoided overlook in payment context; retain paired contrast
28,over,overwork,verb,work too much,lam viec qua suc,cooldown,P3,2026-08-04,conversation update,
28,over,oversleep,verb,sleep too long; wake late,ngu quen,cooldown,P3,2026-08-10,quiz history,Correct on Daily Quick
28,over,overwhelmed,adjective,unable to cope; flooded with feeling,choang ngop,cooldown,P3,2026-08-05,conversation update,
28,over,overhear,verb,hear accidentally,nghe lom,cooldown,P3,2026-08-07,quiz history,Past form overheard correct on Weekly Quick
28,over,overcook,verb,cook too much,nau qua chin,cooldown,P3,2026-08-06,conversation update,
28,over,overuse,verb/noun,use too much,lam dung,cooldown,P3,2026-08-04,conversation update,
28,over,overnight,adverb/adjective,during the night; very quickly,qua dem,cooldown,P3,2026-08-05,conversation update,
28,over,overspend,verb,spend too much,chi tieu qua muc,cooldown,P3,2026-08-06,conversation update,
28,over,overpriced,adjective,too expensive,qua dat,cooldown,P3,2026-08-05,conversation update,
28,over,overjoyed,adjective,extremely happy,rat vui mung,cooldown,P3,2026-08-04,conversation update,
28,over,overeat,verb,eat too much,an qua nhieu,cooldown,P3,2026-08-04,conversation update,
28,over,overpay,verb,pay too much,tra qua nhieu tien,recovery,P2,2026-09-22,DQ-2026-09-22,Q3 first confident correction after payment-context miss; retain Recovery until stable
29,per,perceive,verb,become aware of; understand,nhan thuc,cooldown,P3,2026-08-07,quiz history,Correct on first valid Weekly Quick
29,per,perception,noun,way of seeing/understanding,nhan thuc; cam nhan,cooldown,P3,2026-09-18,WQ-2026-09-18,"Q24: Correct confidently; After reading dozens of negative reviews, customers formed a poor perception of the brand."
29,per,perceptive,adjective,quick to notice/understand,tinh y; sau sac,recovery,P1,2026-09-22,DQ-2026-09-22,Q2 missed person-quality context: selected observable for someone who noticed a hidden pattern
29,per,perfect,adjective/verb,without mistakes; make perfect,hoan hao,recovery,P2,2026-08-07,quiz history,Selected instead of permanent on Weekly Quick
29,per,perfectly,adverb,completely; without error,mot cach hoan hao,new_unit,P2,2026-08-07,conversation update,
29,per,perfection,noun,state of being perfect,su hoan hao,new_unit,P2,2026-08-07,conversation update,
29,per,perfectionism,noun,need for everything to be perfect,chu nghia cau toan,cooldown,P3,2026-08-07,quiz history,Correct on first valid Weekly Quick
29,per,imperfect,adjective,not perfect,khong hoan hao,new_unit,P2,2026-08-07,conversation update,
29,per,persevere,verb,continue despite difficulty,kien tri,cooldown,P3,2026-08-07,quiz history,Correct on first valid Weekly Quick
29,per,perseverance,noun,continued effort despite difficulty,su kien tri,new_unit,P2,2026-08-07,conversation update,
29,per,persevering,adjective,continuing despite difficulty,kien tri,new_unit,P2,2026-08-07,conversation update,
29,per,persist,verb,continue; remain,keo dai; tiep tuc,cooldown,P3,2026-08-10,quiz history,Correct on Daily Quick
29,per,persistence,noun,continued existence/effort,su dai dang; su ben bi,new_unit,P2,2026-08-07,conversation update,
29,per,persistent,adjective,continuing for a long time,dai dang; kien tri,new_unit,P2,2026-08-07,conversation update,
29,per,persistently,adverb,in a persistent way,mot cach dai dang,new_unit,P2,2026-08-07,conversation update,
29,per,persuade,verb,convince,thuyet phuc,cooldown,P3,2026-08-10,quiz history,Correct on Daily Quick
29,per,persuasion,noun,act/process of convincing,su thuyet phuc,new_unit,P2,2026-08-07,conversation update,
29,per,persuasive,adjective,able to convince,co suc thuyet phuc,cooldown,P3,2026-08-24,quiz history,Correctly avoided again in perceptive noticing context; move to cooldown
29,per,permanent,adjective,lasting; not temporary,lau dai; vinh vien,recovery,P2,2026-08-07,quiz history,Wrong on Weekly Quick; selected perfect
29,per,perform,verb,carry out; act,thuc hien; bieu dien,new_unit,P2,2026-08-07,conversation update,
29,per,permit,verb/noun,allow; official permission,cho phep; giay phep,cooldown,P3,2026-08-10,quiz history,Permission form correct on Daily Quick
29,per,perspective,noun,point of view,goc nhin,cooldown,P3,2026-08-17,quiz history,Correct confidently in customer viewpoint context; contrast improved
29,per,perfume,noun,pleasant smell/scented liquid,nuoc hoa; mui thom,new_unit,P2,2026-08-07,conversation update,
29,per,pervade,verb,spread through everywhere,lan toa; tham vao,new_unit,P2,2026-08-07,conversation update,
37,syn/sym,symptom,noun,sign of illness or a problem,trieu chung,new_unit,P2,2026-09-09,2026-09-09 addendum,Unit 37 extension; normalized existing Outwork plural symptoms to singular lemma
0,outwork,boredom tolerance,noun phrase,ability to endure boredom,kha nang chiu su nham chan,new_unit,P2,2026-08-07,conversation update,Outwork vocabulary
0,outwork,monotonous,adjective,repetitive and dull,don dieu,cooldown,P3,2026-08-12,quiz history,Stable after another correct check following prior miss
0,outwork,tap out,phrasal verb,quit; give up,bo cuoc,new_unit,P2,2026-08-07,conversation update,Outwork vocabulary
0,outwork,stimulation,noun,mental/physical activation,kich thich,new_unit,P2,2026-08-07,conversation update,Outwork vocabulary
0,outwork,endurance,noun,ability to keep going despite difficulty or tiredness,suc ben,cooldown,P3,2026-08-18,quiz history,Correct in mental endurance context after prior recovery; move to light watch
0,outwork,tolerating,verb/gerund,enduring or accepting something unpleasant,chiu dung,recovery,P2,2026-09-18,WQ-2026-09-18,Q1 correct confidently for accepting criticism; lower from P1 after recorded correct checks; retain Recovery
0,outwork,compounding,noun/adjective,cumulative increase or effect that builds over time,su gia tang tich tu,recovery,P2,2026-08-18,quiz history,Correct again in cumulative-effect context; keep contrast with tolerating for one more cycle
0,outwork,sustained,adjective,maintained or continued over time,duy tri lien tuc,cooldown,P3,2026-08-24,quiz history,Accepted as plausible adjective in sustained noisy calls; do not treat Q5 as a miss
30,post,postgraduate,noun/adjective,student or course after a first university degree,sau dai hoc; hoc vien sau dai hoc,new_unit,P2,2026-08-11,quiz history,Correct on first Unit 30 Daily Quick
30,post,postpone,verb,delay; arrange for a later time,tri hoan,new_unit,P2,2026-08-11,quiz history,Correct verb use on first Unit 30 Daily Quick
30,post,postscript,noun,extra note added at the end of a letter or message,tai but,new_unit,P2,2026-08-12,quiz history,Correct on Daily Quick first-practice check
30,post,post-traumatic,adjective,happening after trauma,hau chan thuong,new_unit,P2,2026-08-10,addendum update,Book word
30,post,postwar,adjective,after a war,hau chien,cooldown,P3,2026-08-24,quiz history,Correctly avoided in plane-landed post-flight email context; move to cooldown
30,post,postponement,noun,delay; act of postponing,su tri hoan,new_unit,P2,2026-08-20,quiz history,Correct one-week launch delay noun context
30,post,post-paid,adjective,paid after use,tra sau,new_unit,P2,2026-08-11,quiz history,Correct on first Unit 30 Daily Quick
30,post,post-crisis,adjective,after a crisis,sau khung hoang,new_unit,P2,2026-08-10,addendum update,Extended word
30,post,post-match,adjective,after a match or game,sau tran dau,new_unit,P2,2026-08-10,addendum update,Extended word
30,post,post-accident,adjective,after an accident,sau tai nan,new_unit,P2,2026-08-10,addendum update,Extended word
30,post,post-flight,adjective,after a flight,sau chuyen bay,cooldown,P3,2026-08-24,quiz history,Correct plane-landed email context after prior recovery; move to cooldown
30,post,post-holiday,adjective,after a holiday or vacation,sau ky nghi,new_unit,P2,2026-08-10,addendum update,Extended word
30,post,post-concert,adjective,after a concert,sau buoi hoa nhac,new_unit,P2,2026-08-10,addendum update,Extended word
31,pre,prearranged,adjective,arranged in advance,duoc sap dat truoc,new_unit,P2,2026-08-11,addendum update,Book word
31,pre,preorder,verb/noun,order before release or availability,dat hang truoc,new_unit,P2,2026-08-12,quiz history,Correct on Daily Quick first-practice check
31,pre,prepare,verb,get ready in advance,chuan bi truoc,new_unit,P2,2026-08-11,addendum update,Book word
31,pre,preschool,noun/adjective,school or education before primary school,mau giao; truoc tieu hoc,new_unit,P2,2026-08-11,addendum update,Book word
31,pre,preview,verb/noun,see or show before the full version or release,xem truoc; ban xem truoc,cooldown,P3,2026-08-24,quiz history,Correctly avoided in precaution backup context; move to cooldown
31,pre,prepaid,adjective,paid before use,tra truoc,new_unit,P2,2026-08-12,quiz history,Correctly contrasted with post-paid on Daily Quick
31,pre,pretest,noun/verb,test before the main test or learning period,bai kiem tra truoc,new_unit,P2,2026-08-18,quiz history,Correct before-main-certification-test context
31,pre,predict,verb,say what will happen in the future,du doan,new_unit,P2,2026-08-11,addendum update,Extended word
31,pre,preheat,verb,heat before cooking or use,lam nong truoc,new_unit,P2,2026-08-12,quiz history,Correct on Daily Quick first-practice check
31,pre,pre-exist,verb,exist before something else,ton tai tu truoc,new_unit,P2,2026-08-11,addendum update,Extended word
31,pre,pre-book,verb,book or reserve in advance,dat cho truoc,new_unit,P2,2026-08-17,quiz history,Correct on Daily Quick; reserve before workshop context
31,pre,precooked,adjective,cooked before sale or use,da nau chin truoc,new_unit,P2,2026-08-11,addendum update,Extended word
31,pre,pre-sale,noun,sale before official or general release,dot mo ban truoc,new_unit,P2,2026-08-11,addendum update,Extended word
31,pre,prevent,verb,stop something from happening,ngan chan,new_unit,P2,2026-08-11,addendum update,Extended word
31,pre,precaution,noun,action taken in advance to avoid risk or harm,su phong ngua,cooldown,P3,2026-09-22,DQ-2026-09-22,Q12 correct confidently for protective gloves used to reduce chemical risk; remain cooldown
32,pro,proceed,verb,continue; go forward with an action or process,tiep tuc; tien hanh,cooldown,P3,2026-09-07,quiz history,Correct after-approval continue-with-action context after prior unresolved answer
32,pro,profound,adjective,deep; serious; having deep meaning,sau sac,recovery,P2,2026-09-21,DQ-2026-09-21,Q2 correctly avoided adjective before affected; retain adjective/adverb contrast
32,pro,promote,verb,support or encourage; raise to a higher position,thuc day; thang chuc,new_unit,P2,2026-08-18,quiz history,Correct campaign context
32,pro,protect,verb,keep safe from harm,bao ve,new_unit,P2,2026-08-12,addendum update,Book word
32,pro,provide,verb,give or supply what is needed,cung cap,new_unit,P2,2026-08-20,quiz history,Correct provide rollback plan; contrast with provision noun
32,pro,profoundly,adverb,in a deep or serious way,mot cach sau sac,recovery,P2,2026-09-21,DQ-2026-09-21,Q2 correct confidently as adverb modifying affected after prior uncertain retrieval; lower gradually from P1
32,pro,profundity,noun,deep meaning or deep understanding,su sau sac,new_unit,P2,2026-08-12,addendum update,Word family of profound; normalized from user note profoundity
32,pro,promoter,noun,person or organization that promotes something,nguoi thuc day; nguoi khoi xuong,new_unit,P2,2026-08-12,addendum update,Word family of promote
32,pro,promotion,noun,act of promoting; job advancement; marketing activity,su thuc day; thang chuc; khuyen mai,new_unit,P2,2026-08-12,addendum update,Word family of promote
32,pro,promotional,adjective,related to advertising or promotion,mang tinh quang ba,new_unit,P2,2026-08-17,quiz history,Correct word-family adjective check before campaign
32,pro,protection,noun,act/state of keeping safe,su bao ve,recovery,P2,2026-09-10,quiz history,Correctly avoided for a contingency-plan clause; retain noun-role contrast
32,pro,protective,adjective,giving protection; wanting to protect,co tinh bao ve,cooldown,P3,2026-09-09,quiz history,Correct confidently before foam after several stable adjective uses
32,pro,protector,noun,person or thing that protects,nguoi bao ve; vat bao ve,new_unit,P2,2026-08-12,addendum update,Word family of protect
32,pro,provision,noun,supply; arrangement made for future need,su cung cap; dieu khoan; su chuan bi,recovery,P2,2026-09-18,WQ-2026-09-18,Q2 correct confidently for rental-agreement clause after recorded policy-clause check; lower gradually from P1
32,pro,proactive,adjective,taking action before problems happen,chu dong,cooldown,P3,2026-09-04,quiz history,Correct confidently after prior uncertain answer; cooldown
32,pro,produce,verb,make or create something,san xuat; tao ra,new_unit,P2,2026-08-12,addendum update,Extended word
32,pro,progress,noun/verb,improvement or movement forward,tien bo; tien trien,new_unit,P2,2026-08-12,addendum update,Extended word
32,pro,project,verb,estimate or forecast; show an image on a surface,du kien; uoc tinh; chieu hinh,new_unit,P2,2026-08-12,addendum update,Extended word
32,pro,promise,noun/verb,commitment; say that you will do something,loi hua; hua,new_unit,P2,2026-08-12,addendum update,Extended word
32,pro,propose,verb,suggest a plan or idea,de xuat,new_unit,P2,2026-08-12,addendum update,Extended word
32,pro,program,noun/verb,planned set of activities; software; arrange instructions,chuong trinh; lap trinh,new_unit,P2,2026-08-12,addendum update,Extended word
32,pro,prospect,noun,possibility or chance of future success,trien vong; kha nang,new_unit,P2,2026-08-12,addendum update,Extended word
32,pro,profit,noun,money gained after costs; benefit,loi nhuan; loi ich,new_unit,P2,2026-08-12,addendum update,Extended word
32,pro,prohibit,verb,officially forbid something,nghiem cam,new_unit,P2,2026-08-12,addendum update,Extended word
33,re,rearrange,verb,arrange again or in a new order,sap xep lai,new_unit,P2,2026-08-18,quiz history,Correct first-practice schedule-change context
33,re,arrange,verb,put things in order or plan something,sap xep,new_unit,P2,2026-08-17,addendum update,Base word for rearrange
33,re,recycle,verb,process used materials so they can be used again,tai che,new_unit,P2,2026-08-20,quiz history,Correct first-practice reuse-materials context
33,re,recyclable,adjective,able to be recycled,co the tai che,new_unit,P2,2026-08-17,addendum update,Word family of recycle
33,re,recycling,noun,act or process of recycling,viec tai che,new_unit,P2,2026-08-17,addendum update,Word family of recycle
33,re,cycle,noun,series that repeats; round or period,vong lap; chu ky,new_unit,P2,2026-08-17,addendum update,Base word for recycle
33,re,renew,verb,make new again; extend a contract license or subscription,lam moi; gia han,cooldown,P3,2026-09-21,DQ-2026-09-21,Q12 correct confidently in direct verb slot after noun-role checks; stable on cooldown
33,re,renewable,adjective,able to be renewed; naturally replaceable,tai tao duoc; co the lam moi,recovery,P2,2026-09-04,quiz history,Selected incorrectly for a rewritable whiteboard; contrast with rewritable and returnable
33,re,renewal,noun,act of renewing or extending,su lam moi; su gia han,cooldown,P3,2026-09-21,DQ-2026-09-21,Q12 correctly avoided noun after must; renewal/renew role contrast stable on cooldown
33,re,return,verb/noun,come or go back; give something back,tro lai; tra lai,new_unit,P2,2026-08-17,addendum update,Book word
33,re,returnable,adjective,able to be returned,co the hoan tra,recovery,P2,2026-09-03,quiz history,Wrong on bottles customers can bring back; contrast with renewable
33,re,rewrite,verb/noun,write again or revise,viet lai; ban viet lai,new_unit,P2,2026-08-24,quiz history,Correct revise confusing paragraph context
33,re,rewritable,adjective,able to be written again or overwritten,co the viet lai,cooldown,P3,2026-09-07,quiz history,Correct name-tag erase/write-again context after renewable contrast miss
33,re,reorganize,verb,organize again or differently,to chuc lai,new_unit,P2,2026-08-17,addendum update,Extended word
33,re,rebuild,verb,build again after damage or change,xay dung lai,new_unit,P2,2026-08-17,addendum update,Extended word
33,re,recover,verb,return to health or regain something,hoi phuc; lay lai,new_unit,P2,2026-08-17,addendum update,Extended word
33,re,replace,verb,take the place of; put something new instead,thay the,new_unit,P2,2026-08-17,addendum update,Extended word
33,re,replay,verb/noun,play again; recording played again,phat lai; ban phat lai,new_unit,P2,2026-08-17,addendum update,Extended word
33,re,reconsider,verb,think about again before deciding,can nhac lai,new_unit,P2,2026-08-17,addendum update,Extended word
33,re,remind,verb,make someone remember,nhac nho,new_unit,P2,2026-08-17,addendum update,Extended word
33,re,recreate,verb,create again; copy a past state,tai tao,new_unit,P2,2026-08-17,addendum update,Extended word
33,re,reuse,verb,use again,tai su dung,new_unit,P2,2026-08-17,addendum update,Extended word
33,re,reunite,verb,bring or come together again,doan tu; hop lai,new_unit,P2,2026-08-17,addendum update,Extended word
33,re,refund,verb/noun,give money back; returned money,hoan tien,new_unit,P2,2026-08-18,quiz history,Correct first-practice defective charger money-back context
33,re,reconnect,verb,connect again,ket noi lai,new_unit,P2,2026-08-17,addendum update,Extended word
